Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Percentage of adults living below twice the national poverty line,41.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,40.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,43.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,54.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,42.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,59.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,43.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,47.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,53.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,55,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,60.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,44.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,55.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,61.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,51.6,Percent,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,50.3,Percent,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,64.9,Percent,2016,,SUSENAS,,All,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,56.2,Percent,2016,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,73.7,Percent,2016,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,86,Percent,2016,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,75.9,Percent,2016,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,64.6,Percent,2016,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,52.2,Percent,2016,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,34,Percent,2016,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,84.1,Percent,2016,,SUSENAS,,All,All,All,All,No school,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,79.9,Percent,2016,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,69.9,Percent,2016,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,71.7,Percent,2016,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,69,Percent,2016,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,49.7,Percent,2016,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,54.7,Percent,2016,,SUSENAS,,All,All,All,All,All,Aceh,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,71.9,Percent,2016,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,71,Percent,2016,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,62.6,Percent,2016,,SUSENAS,,All,All,All,All,All,Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,69.4,Percent,2016,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,51.2,Percent,2016,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,74.8,Percent,2016,,SUSENAS,,All,All,All,All,All,Bengkulu,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,73.2,Percent,2016,,SUSENAS,,All,All,All,All,All,Lampung,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,43.1,Percent,2016,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,41.1,Percent,2016,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,55.2,Percent,2016,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,67.7,Percent,2016,,SUSENAS,,All,All,All,All,All,Jawa Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,63.5,Percent,2016,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,47.2,Percent,2016,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,65,Percent,2016,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,65,Percent,2016,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,43.4,Percent,2016,,SUSENAS,,All,All,All,All,All,Bali,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,64.5,Percent,2016,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,87.5,Percent,2016,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,72.3,Percent,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,69.5,Percent,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,57.3,Percent,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,44.1,Percent,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,59,Percent,2016,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,68.4,Percent,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,75.2,Percent,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,54.6,Percent,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,61.6,Percent,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,65.9,Percent,2016,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,61.1,Percent,2016,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,75.5,Percent,2016,,SUSENAS,,All,All,All,All,All,Maluku,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,79.8,Percent,2016,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,74.7,Percent,2016,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,87.6,Percent,2016,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,64.2,Percent,2016,,SUSENAS,,Female,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children deprived in 2 or more non-income dimensions of poverty,65.7,Percent,2016,,SUSENAS,,Male,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.7,Percent,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,5.6,Percent,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,11.7,Percent,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,37.3,Percent,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,23.5,Percent,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,15.9,Percent,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,11.2,Percent,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,7.1,Percent,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,3.2,Percent,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,0.5,Percent,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,5.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Aceh,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,4.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,1.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,2,Percent,2015,,SUSENAS,,All,All,All,All,All,Riau,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,4.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Jambi,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,10.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,7,Percent,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Lampung,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,0.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,0.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,0.1,Percent,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,12.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,10,Percent,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,9.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,3.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Banten,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,2.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Bali,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,14,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,25.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,5.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,2.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,2.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,0.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,0.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,19.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,22.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,26.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,20.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,4.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,1.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,21.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.6,Percent,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Percentage of children living below international poverty line of US$1.9 (PPP) per day,8.7,Percent,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
